Date,Name,Curve_Forward_Energy,Current,Status,Voltage
2023-02-16,HAA221000372,95.83,95.83,Running,95.83
2023-02-16,HAA221000371,95.83,95.83,Running,95.83
2023-02-16,HAA221000370,95.83,95.83,Running,95.83
2023-02-16,HAA221000369,95.83,95.83,Running,95.83
2023-02-16,HAA221000368,95.83,95.83,Running,95.83
2023-02-16,HAA221000367,95.83,95.83,Running,95.83
2023-02-16,HAA221000366,95.83,95.83,Running,95.83
2023-02-16,HAA221000365,95.83,95.83,Running,95.83
2023-02-16,HAA221000364,83.33,83.33,Running,83.33
2023-02-16,HAA221000363,79.17,79.17,Running,79.17
2023-02-16,HAA221000362,95.83,95.83,Running,95.83
2023-02-16,HAA221000361,83.33,83.33,Running,83.33
2023-02-16,HAA221000360,83.33,83.33,Running,83.33
2023-02-16,HAA221000359,95.83,95.83,Running,95.83
2023-02-16,HAA221000358,100,100,Running,100
2023-02-16,HAA221000357,83.33,83.33,Running,83.33
2023-02-16,HAA221000356,95.83,95.83,Running,95.83
2023-02-16,HAA221000355,79.17,79.17,Running,79.17
2023-02-16,HAA221000354,95.83,95.83,Running,95.83
2023-02-16,HAA221000353,100,100,Running,100
2023-02-16,HAA221000316,20.83,20.83,Running,20.83
2023-02-16,HAA221000315,20.83,20.83,Running,20.83
2023-02-16,HAA221000314,16.67,16.67,Running,16.67
2023-02-16,HAA221000313,100,100,Running,100
2023-02-16,HAA221000312,20.83,20.83,Running,20.83
2023-02-16,HAA221000311,20.83,20.83,Running,20.83
2023-02-16,HAA221000310,20.83,20.83,Running,20.83
2023-02-16,HAA221000309,20.83,20.83,Running,20.83
2023-02-16,HAA221000308,16.67,16.67,Running,16.67
2023-02-16,HAA221000306,16.67,16.67,Running,16.67
2023-02-16,HAA221000305,16.67,16.67,Running,16.67
2023-02-16,HAA221000304,100,100,Running,100
2023-02-16,HAA221000303,95.83,95.83,Running,95.83
2023-02-16,HAA221000301,100,100,Running,100
2023-02-16,HAA221000300,95.83,95.83,Running,95.83
2023-02-16,HAA221000299,100,100,Running,100
2023-02-16,HAA221000298,100,100,Running,100
2023-02-16,HAA221000297,95.83,95.83,Running,95.83
2023-02-16,HAA221000296,100,100,Running,100
2023-02-16,HAA221000295,100,100,Running,100
2023-02-16,HAA221000294,95.83,95.83,Running,95.83
2023-02-16,HAA221000293,100,100,Running,100
2023-02-16,HAA221000292,75,75,Running,75
2023-02-16,HAA221000291,95.83,95.83,Running,95.83
2023-02-16,HAA221000290,75,75,Running,75
2023-02-16,HAA221000289,95.83,95.83,Running,95.83
2023-02-16,HAA221000288,95.83,95.83,Running,95.83
2023-02-16,HAA221000287,95.83,95.83,Running,95.83
2023-02-16,HAA221000286,95.83,95.83,Running,95.83
2023-02-16,HAA221000285,95.83,95.83,Running,95.83
2023-02-16,HAA221000284,75,75,Running,75
2023-02-16,HAA221000283,95.83,95.83,Running,95.83
2023-02-16,HAA221000282,95.83,95.83,Running,95.83
2023-02-16,HAA221000281,100,100,Running,100
2023-02-16,HAA221000268,95.83,95.83,Running,95.83
2023-02-16,HAA221000267,100,100,Running,100
2023-02-16,HAA221000266,95.83,95.83,Running,95.83
2023-02-16,HAA221000265,95.83,95.83,Running,95.83
2023-02-16,HAA221000264,100,100,Running,100
2023-02-16,HAA221000263,100,100,Running,100
2023-02-16,HAA221000262,95.83,95.83,Running,95.83
2023-02-16,HAA221000261,95.83,95.83,Running,95.83
2023-02-16,HAA221000260,95.83,95.83,Running,95.83
2023-02-16,HAA221000258,95.83,95.83,Running,95.83
2023-02-16,HAA221000257,100,100,Running,100
2023-02-16,HAA221000256,95.83,95.83,Running,95.83
2023-02-16,HAA221000255,95.83,95.83,Running,95.83
2023-02-16,HAA221000254,100,100,Running,100
2023-02-16,HAA221000253,95.83,95.83,Running,95.83
2023-02-16,HAA221000252,95.83,95.83,Running,95.83
2023-02-16,HAA221000251,100,100,Running,100
2023-02-16,HAA221000250,100,100,Running,100
2023-02-16,HAA221000249,100,100,Running,100
2023-02-16,HAA221000248,100,100,Running,100
2023-02-16,HAA221000247,100,100,Running,100
2023-02-16,HAA221000246,100,100,Running,100
2023-02-16,HAA221000245,95.83,95.83,Running,95.83
2023-02-16,HAA221000160,100,100,Running,100
2023-02-16,HAA221000159,100,100,Running,100
2023-02-16,HAA221000158,95.83,95.83,Running,95.83
2023-02-16,HAA221000157,100,100,Running,100
2023-02-16,HAA221000156,95.83,95.83,Running,95.83
2023-02-16,HAA221000155,100,100,Running,100
2023-02-16,HAA221000154,100,100,Running,100
2023-02-16,HAA221000153,100,100,Running,100
2023-02-16,HAA221000152,100,100,Running,100
2023-02-16,HAA221000151,75,75,Running,75
2023-02-16,HAA221000150,75,75,Running,75
2023-02-16,HAA221000149,75,75,Running,75
2023-02-16,HAA221000112,95.83,95.83,Running,95.83
2023-02-16,HAA221000111,95.83,95.83,Running,95.83
2023-02-16,HAA221000110,100,100,Running,100
2023-02-16,HAA221000109,95.83,95.83,Running,95.83
2023-02-16,HAA221000108,100,100,Running,100
2023-02-16,HAA221000107,95.83,95.83,Running,95.83
2023-02-16,HAA221000105,100,100,Running,100
2023-02-16,HAA221000104,100,100,Running,100
2023-02-16,HAA221000103,100,100,Running,100
2023-02-16,HAA221000102,100,100,Running,100
2023-02-16,HAA221000101,100,100,Running,100
2023-02-16,HAA221000088,95.83,95.83,Running,95.83
2023-02-16,HAA221000087,95.83,95.83,Running,95.83
2023-02-16,HAA221000086,95.83,95.83,Running,95.83
2023-02-16,HAA221000085,95.83,95.83,Running,95.83
2023-02-16,HAA221000084,95.83,95.83,Running,95.83
2023-02-16,HAA221000083,95.83,95.83,Running,95.83
2023-02-16,HAA221000082,95.83,95.83,Running,95.83
2023-02-16,HAA221000081,95.83,95.83,Running,95.83
2023-02-16,HAA221000080,95.83,95.83,Running,95.83
2023-02-16,HAA221000079,95.83,95.83,Running,95.83
2023-02-16,HAA221000078,95.83,95.83,Running,95.83
2023-02-16,HAA221000077,95.83,95.83,Running,95.83
2023-02-16,HAA221000076,100,100,Running,100
2023-02-16,HAA221000075,100,100,Running,100
2023-02-16,HAA221000073,100,100,Running,100
2023-02-16,HAA221000072,95.83,95.83,Running,95.83
2023-02-16,HAA221000071,100,100,Running,100
2023-02-16,HAA221000070,100,100,Running,100
2023-02-16,HAA221000069,95.83,95.83,Running,95.83
2023-02-16,HAA221000068,100,100,Running,100
2023-02-16,HAA221000067,95.83,95.83,Running,95.83
2023-02-16,HAA221000066,95.83,95.83,Running,95.83
2023-02-16,HAA221000065,100,100,Running,100
2023-02-16,HAA221000064,100,100,Running,100
2023-02-16,HAA221000063,100,100,Running,100
2023-02-16,HAA221000060,95.83,95.83,Running,95.83
2023-02-16,HAA221000059,100,100,Running,100
2023-02-16,HAA221000058,95.83,95.83,Running,95.83
2023-02-16,HAA221000056,100,100,Running,100
2023-02-16,HAA221000055,95.83,95.83,Running,95.83
2023-02-16,HAA221000054,95.83,95.83,Running,95.83
2023-02-16,HAA221000053,95.83,95.83,Running,95.83
2023-02-16,HAA221000052,95.83,95.83,Running,95.83
2023-02-16,HAA221000051,95.83,95.83,Running,95.83
2023-02-16,HAA221000048,95.83,95.83,Running,95.83
2023-02-16,HAA221000047,95.83,95.83,Running,95.83
2023-02-16,HAA221000045,95.83,95.83,Running,95.83
2023-02-16,HAA221000043,95.83,95.83,Running,95.83
2023-02-16,HAA221000042,95.83,95.83,Running,95.83
2023-02-16,HAA221000041,95.83,95.83,Running,95.83
2023-02-16,HAA221000028,95.83,95.83,Running,95.83
2023-02-16,HAA221000027,95.83,95.83,Running,95.83
2023-02-16,HAA221000026,95.83,95.83,Running,95.83
2023-02-16,HAA221000025,100,100,Running,100
2023-02-16,HAA221000024,95.83,95.83,Running,95.83
2023-02-16,HAA221000021,95.83,95.83,Running,95.83
2023-02-16,HAA221000020,95.83,95.83,Running,95.83
2023-02-16,HAA221000019,95.83,95.83,Running,95.83
2023-02-16,HAA221000018,95.83,95.83,Running,95.83
2023-02-16,HAA221000017,95.83,95.83,Running,95.83
2023-02-16,HAA221000016,37.5,37.5,Running,37.5
2023-02-16,HAA221000015,37.5,37.5,Running,37.5
2023-02-16,HAA221000014,37.5,37.5,Running,37.5
2023-02-16,HAA221000013,33.33,33.33,Running,33.33
2023-02-16,HAA221000012,37.5,37.5,Running,37.5
2023-02-16,HAA221000011,33.33,33.33,Running,33.33
2023-02-16,HAA221000010,37.5,37.5,Running,37.5
2023-02-16,HAA221000009,33.33,33.33,Running,33.33
2023-02-16,HAA221000008,33.33,33.33,Running,33.33
2023-02-16,HAA221000007,37.5,37.5,Running,37.5
2023-02-16,HAA221000006,37.5,37.5,Running,37.5
2023-02-16,HAA221000005,33.33,33.33,Running,33.33
2023-02-16,HAA221004938,0,0,Warehousing,0
2023-02-16,HAA221004937,0,0,Warehousing,0
2023-02-16,HAA221004936,0,0,Warehousing,0
2023-02-16,HAA221004935,0,0,Warehousing,0
2023-02-16,HAA221004934,0,0,Warehousing,0
2023-02-16,HAA221004933,0,0,Warehousing,0
2023-02-16,HAA221004932,0,0,Warehousing,0
2023-02-16,HAA221004931,0,0,Warehousing,0
2023-02-16,HAA221004930,0,0,Warehousing,0
2023-02-16,HAA221004929,0,0,Warehousing,0
2023-02-16,HAA221004928,0,0,Warehousing,0
2023-02-16,HAA221004927,0,0,Warehousing,0
2023-02-16,HAA221004926,0,0,Warehousing,0
2023-02-16,HAA221004925,0,0,Warehousing,0
2023-02-16,HAA221004924,0,0,Warehousing,0
2023-02-16,HAA221004923,0,0,Warehousing,0
2023-02-16,HAA221004922,0,0,Warehousing,0
2023-02-16,HAA221004921,0,0,Warehousing,0
2023-02-16,HAA221004920,0,0,Warehousing,0
2023-02-16,HAA221004919,0,0,Warehousing,0
2023-02-16,HAA221004918,0,0,Warehousing,0
2023-02-16,HAA221004917,0,0,Warehousing,0
2023-02-16,HAA221004916,0,0,Warehousing,0
2023-02-16,HAA221004915,0,0,Warehousing,0
2023-02-16,HAA221004914,0,0,Warehousing,0
2023-02-16,HAA221004913,0,0,Warehousing,0
2023-02-16,HAA221004912,0,0,Warehousing,0
2023-02-16,HAA221004911,0,0,Warehousing,0
2023-02-16,HAA221004910,0,0,Warehousing,0
2023-02-16,HAA221004909,0,0,Warehousing,0
2023-02-16,HAA221004908,0,0,Warehousing,0
2023-02-16,HAA221004907,0,0,Warehousing,0
2023-02-16,HAA221004906,0,0,Warehousing,0
2023-02-16,HAA221004905,0,0,Warehousing,0
2023-02-16,HAA221004904,0,0,Warehousing,0
2023-02-16,HAA221004903,0,0,Warehousing,0
2023-02-16,HAA221004902,0,0,Warehousing,0
2023-02-16,HAA221004901,0,0,Warehousing,0
2023-02-16,HAA221004900,0,0,Warehousing,0
2023-02-16,HAA221004899,0,0,Warehousing,0
2023-02-16,HAA221004898,0,0,Warehousing,0
2023-02-16,HAA221004897,0,0,Warehousing,0
2023-02-16,HAA221004896,0,0,Warehousing,0
2023-02-16,HAA221004895,0,0,Warehousing,0
2023-02-16,HAA221004894,0,0,Warehousing,0
2023-02-16,HAA221004893,0,0,Warehousing,0
2023-02-16,HAA221004892,0,0,Warehousing,0
2023-02-16,HAA221004891,0,0,Warehousing,0
2023-02-16,HAA221004890,0,0,Warehousing,0
2023-02-16,HAA221004889,0,0,Warehousing,0
2023-02-16,HAA221004888,0,0,Warehousing,0
2023-02-16,HAA221004887,0,0,Warehousing,0
2023-02-16,HAA221004886,0,0,Warehousing,0
2023-02-16,HAA221004885,0,0,Warehousing,0
2023-02-16,HAA221004884,0,0,Warehousing,0
2023-02-16,HAA221004883,0,0,Warehousing,0
2023-02-16,HAA221004882,0,0,Warehousing,0
2023-02-16,HAA221004881,0,0,Warehousing,0
2023-02-16,HAA221004880,0,0,Warehousing,0
2023-02-16,HAA221004879,0,0,Warehousing,0
2023-02-16,HAA221004878,0,0,Warehousing,0
2023-02-16,HAA221003962,0,0,Warehousing,0
2023-02-16,HAA221003961,0,0,Warehousing,0
2023-02-16,HAA221003960,0,0,Warehousing,0
2023-02-16,HAA221003959,0,0,Warehousing,0
2023-02-16,HAA221003958,0,0,Warehousing,0
2023-02-16,HAA221003957,0,0,Warehousing,0
2023-02-16,HAA221003956,0,0,Warehousing,0
2023-02-16,HAA221003955,0,0,Warehousing,0
2023-02-16,HAA221003954,0,0,Warehousing,0
2023-02-16,HAA221003953,0,0,Warehousing,0
2023-02-16,HAA221003952,0,0,Warehousing,0
2023-02-16,HAA221003951,0,0,Warehousing,0
2023-02-16,HAA221003950,0,0,Warehousing,0
2023-02-16,HAA221003949,0,0,Warehousing,0
2023-02-16,HAA221003948,0,0,Warehousing,0
2023-02-16,HAA221003947,0,0,Warehousing,0
2023-02-16,HAA221003946,0,0,Warehousing,0
2023-02-16,HAA221003945,0,0,Warehousing,0
2023-02-16,HAA221003944,0,0,Warehousing,0
2023-02-16,HAA221003943,0,0,Warehousing,0
2023-02-16,HAA221003942,0,0,Warehousing,0
2023-02-16,HAA221003941,0,0,Warehousing,0
2023-02-16,HAA221003940,0,0,Warehousing,0
2023-02-16,HAA221003939,0,0,Warehousing,0
2023-02-16,HAA221003938,0,0,Warehousing,0
2023-02-16,HAA221003937,0,0,Warehousing,0
2023-02-16,HAA221003936,0,0,Warehousing,0
2023-02-16,HAA221003935,0,0,Warehousing,0
2023-02-16,HAA221003934,0,0,Warehousing,0
2023-02-16,HAA221003933,0,0,Warehousing,0
2023-02-16,HAA221003932,0,0,Warehousing,0
2023-02-16,HAA221003931,0,0,Warehousing,0
2023-02-16,HAA221003930,0,0,Warehousing,0
2023-02-16,HAA221003929,0,0,Warehousing,0
2023-02-16,HAA221003928,0,0,Warehousing,0
2023-02-16,HAA221003927,0,0,Warehousing,0
2023-02-16,HAA221003926,0,0,Warehousing,0
2023-02-16,HAA221003925,0,0,Warehousing,0
2023-02-16,HAA221003924,0,0,Warehousing,0
2023-02-16,HAA221003923,0,0,Warehousing,0
2023-02-16,HAA221003922,0,0,Warehousing,0
2023-02-16,HAA221003921,0,0,Warehousing,0
2023-02-16,HAA221003920,0,0,Warehousing,0
2023-02-16,HAA221003919,0,0,Warehousing,0
2023-02-16,HAA221003918,0,0,Warehousing,0
2023-02-16,HAA221003917,0,0,Warehousing,0
2023-02-16,HAA221003916,0,0,Warehousing,0
2023-02-16,HAA221003915,0,0,Warehousing,0
2023-02-16,HAA221003914,0,0,Warehousing,0
2023-02-16,HAA221003913,0,0,Warehousing,0
2023-02-16,HAA221003912,0,0,Warehousing,0
2023-02-16,HAA221003911,0,0,Warehousing,0
2023-02-16,HAA221003910,0,0,Warehousing,0
2023-02-16,HAA221003909,0,0,Warehousing,0
2023-02-16,HAA221003908,0,0,Warehousing,0
2023-02-16,HAA221003907,0,0,Warehousing,0
2023-02-16,HAA221003906,0,0,Warehousing,0
2023-02-16,HAA221003905,0,0,Warehousing,0
2023-02-16,HAA221003904,0,0,Warehousing,0
2023-02-16,HAA221003903,0,0,Warehousing,0
2023-02-16,HAA221003902,0,0,Warehousing,0
2023-02-16,HPA221000680,0,0,Warehousing,0
2023-02-16,HPA221000679,0,0,Warehousing,0
2023-02-16,HPA221000678,0,0,Warehousing,0
2023-02-16,HPA221000677,0,0,Warehousing,0
2023-02-16,HPA221000676,0,0,Warehousing,0
2023-02-16,HPA221000675,0,0,Warehousing,0
2023-02-16,HPA221000674,0,0,Warehousing,0
2023-02-16,HPA221000673,0,0,Warehousing,0
2023-02-16,HPA221000672,0,0,Warehousing,0
2023-02-16,HPA221000671,0,0,Warehousing,0
2023-02-16,HPA221000670,0,0,Warehousing,0
2023-02-16,HPA221000669,0,0,Warehousing,0
2023-02-16,HPA221000668,0,0,Warehousing,0
2023-02-16,HPA221000667,0,0,Warehousing,0
2023-02-16,HPA221000666,0,0,Warehousing,0
2023-02-16,HPA221000665,0,0,Warehousing,0
2023-02-16,HPA221000664,0,0,Warehousing,0
2023-02-16,HPA221000663,0,0,Warehousing,0
2023-02-16,HPA221000662,0,0,Warehousing,0
2023-02-16,HPA221000661,0,0,Warehousing,0
2023-02-16,HPA221000660,0,0,Warehousing,0
2023-02-16,HPA221000659,0,0,Warehousing,0
2023-02-16,HPA221000658,0,0,Warehousing,0
2023-02-16,HPA221000657,0,0,Warehousing,0
2023-02-16,HPA221000656,0,0,Warehousing,0
2023-02-16,HPA221000655,0,0,Warehousing,0
2023-02-16,HPA221000654,0,0,Warehousing,0
2023-02-16,HPA221000653,0,0,Warehousing,0
2023-02-16,HPA221000652,0,0,Warehousing,0
2023-02-16,HPA221000651,0,0,Warehousing,0
2023-02-16,HPA221000650,0,0,Warehousing,0
2023-02-16,HPA221000649,0,0,Warehousing,0
2023-02-16,HPA221000648,0,0,Warehousing,0
2023-02-16,HPA221000647,0,0,Warehousing,0
2023-02-16,HPA221000646,0,0,Warehousing,0
2023-02-16,HPA221000645,0,0,Warehousing,0
2023-02-16,HPA221000644,0,0,Warehousing,0
2023-02-16,HPA221000643,0,0,Warehousing,0
2023-02-16,HPA221000642,0,0,Warehousing,0
2023-02-16,HPA221000641,0,0,Warehousing,0
2023-02-16,HPA221000640,0,0,Warehousing,0
2023-02-16,HPA221000639,0,0,Warehousing,0
2023-02-16,HPA221000638,0,0,Warehousing,0
2023-02-16,HPA221000637,0,0,Warehousing,0
2023-02-16,HPA221000636,0,0,Warehousing,0
2023-02-16,HPA221000635,0,0,Warehousing,0
2023-02-16,HPA221000634,0,0,Warehousing,0
2023-02-16,HPA221000633,0,0,Warehousing,0
2023-02-16,HPA221000632,0,0,Warehousing,0
2023-02-16,HPA221000631,0,0,Warehousing,0
2023-02-16,HPA221000630,0,0,Warehousing,0
2023-02-16,HPA221000629,0,0,Warehousing,0
2023-02-16,HPA221000628,0,0,Warehousing,0
2023-02-16,HPA221000627,0,0,Warehousing,0
2023-02-16,HPA221000626,0,0,Warehousing,0
2023-02-16,HPA221000625,0,0,Warehousing,0
2023-02-16,HPA221000624,0,0,Warehousing,0
2023-02-16,HPA221000623,0,0,Warehousing,0
2023-02-16,HPA221000622,0,0,Warehousing,0
2023-02-16,HPA221000621,0,0,Warehousing,0
2023-02-16,HPA221000620,0,0,Warehousing,0
2023-02-16,HAA221005914,0,0,Warehousing,0
2023-02-16,HAA221005913,0,0,Warehousing,0
2023-02-16,HAA221005912,0,0,Warehousing,0
2023-02-16,HAA221005911,0,0,Warehousing,0
2023-02-16,HAA221005910,0,0,Warehousing,0
2023-02-16,HAA221005909,0,0,Warehousing,0
2023-02-16,HAA221005908,0,0,Warehousing,0
2023-02-16,HAA221005907,0,0,Warehousing,0
2023-02-16,HAA221005906,0,0,Warehousing,0
2023-02-16,HAA221005905,0,0,Warehousing,0
2023-02-16,HAA221005904,0,0,Warehousing,0
2023-02-16,HAA221005903,0,0,Warehousing,0
2023-02-16,HAA221005902,0,0,Warehousing,0
2023-02-16,HAA221005901,0,0,Warehousing,0
2023-02-16,HAA221005900,0,0,Warehousing,0
2023-02-16,HAA221005899,0,0,Warehousing,0
2023-02-16,HAA221005898,0,0,Warehousing,0
